2026-02-01 15:47:03.641899 | task_001 | demo_pipeline | failed | 14.145717s
2026-02-01 15:47:03.645794 | task_003 | demo_pipeline | failed | 14.149932s
2026-02-01 15:47:03.650620 | task_005 | demo_pipeline | failed | 14.15244s
2026-02-01 15:47:03.655630 | task_004 | demo_pipeline_high_priority | failed | 14.160609s
2026-02-01 15:47:03.659511 | task_002 | demo_pipeline_high_priority | failed | 14.168302s
2026-02-12 15:43:55.883287 | task_005 | demo_pipeline | failed | 14.201433s
2026-02-12 15:43:55.887508 | task_004 | demo_pipeline_high_priority | failed | 14.211048s
2026-02-12 15:43:55.891901 | task_001 | demo_pipeline | failed | 14.213227s
2026-02-12 15:43:55.896865 | task_002 | demo_pipeline_high_priority | failed | 14.222547s
2026-02-12 15:43:55.901818 | task_003 | demo_pipeline | failed | 14.221275s
2026-02-12 15:48:22.917222 | task_005 | demo_pipeline | failed | 14.16681s
2026-02-12 15:48:22.919408 | task_003 | demo_pipeline | failed | 14.17049s
2026-02-12 15:48:22.922801 | task_001 | demo_pipeline | failed | 14.17482s
2026-02-12 15:48:22.924724 | task_004 | demo_pipeline_high_priority | failed | 14.178304s
2026-02-12 15:48:22.926191 | task_002 | demo_pipeline_high_priority | failed | 14.182633s
2026-02-12 15:56:37.537312 | task_003 | demo_pipeline | failed | 14.131596s
2026-02-12 15:56:37.541870 | task_005 | demo_pipeline | failed | 14.134489s
2026-02-12 15:56:37.545872 | task_001 | demo_pipeline | failed | 14.141143s
2026-02-12 15:56:37.551674 | task_002 | demo_pipeline_high_priority | failed | 14.149361s
2026-02-12 15:56:37.556705 | task_004 | demo_pipeline_high_priority | failed | 14.152436s
2026-02-12 19:01:02.900090 | task_001 | demo_pipeline | failed | 14.153422s
2026-02-12 19:01:02.905665 | task_003 | demo_pipeline | failed | 14.158247s
2026-02-12 19:01:02.909343 | task_005 | demo_pipeline | failed | 14.162603s
2026-02-12 19:01:02.912367 | task_002 | demo_pipeline_high_priority | failed | 14.171645s
2026-02-12 19:01:02.915984 | task_004 | demo_pipeline_high_priority | failed | 14.172434s
2026-02-12 19:01:18.175364 | task_003 | demo_pipeline | failed | 14.17471s
2026-02-12 19:01:18.177771 | task_005 | demo_pipeline | failed | 14.176907s
2026-02-12 19:01:18.180331 | task_004 | demo_pipeline_high_priority | failed | 14.181512s
2026-02-12 19:01:18.182661 | task_002 | demo_pipeline_high_priority | failed | 14.186534s
2026-02-12 19:01:18.185319 | task_001 | demo_pipeline | failed | 14.185673s
2026-02-12 23:17:11.032448 | task_003 | demo_pipeline | failed | 44.907259s
2026-02-12 23:17:11.038769 | task_005 | demo_pipeline | failed | 44.914111s
2026-02-12 23:17:11.371862 | task_002 | demo_pipeline_high_priority | failed | 45.252366s
2026-02-12 23:17:11.390279 | task_004 | demo_pipeline_high_priority | failed | 45.267456s
2026-02-12 23:17:11.392632 | task_001 | demo_pipeline | failed | 45.269896s
2026-02-12 23:34:57.550834 | task_003 | demo_pipeline | failed | 7.642319s
2026-02-12 23:34:57.557703 | task_001 | demo_pipeline | failed | 7.650322s
2026-02-12 23:34:57.646623 | task_005 | demo_pipeline | failed | 7.735344s
2026-02-12 23:34:57.651267 | task_004 | demo_pipeline_high_priority | failed | 7.745092s
2026-02-12 23:34:57.655795 | task_002 | demo_pipeline_high_priority | failed | 7.752537s
2026-02-13 00:08:11.778237 | task_005 | demo_pipeline | success | 0.630663s
2026-02-13 00:08:11.867348 | task_004 | demo_pipeline_high_priority | success | 0.722872s
2026-02-13 00:08:11.878810 | task_003 | demo_pipeline | success | 0.731779s
2026-02-13 00:08:11.892531 | task_002 | demo_pipeline_high_priority | success | 0.750607s
2026-02-13 00:08:12.541479 | task_001 | demo_pipeline | success | 1.396253s
